__run_id,__done,model,quantization_level,energy/prompt,energy/token,accuracy,latency/prompt,token/s,VRAM,RAM,OOM
run_0_repetition_0,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_0,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_0,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_0,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_0,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_0,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_0,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_0,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_0,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_1,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_1,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_1,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_1,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_1,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_1,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_1,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_1,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_1,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_2,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_2,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_2,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_2,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_2,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_2,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_2,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_2,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_2,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_3,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_3,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_3,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_3,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_3,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_3,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_3,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_3,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_3,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_4,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_4,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_4,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_4,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_4,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_4,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_4,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_4,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_4,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_5,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_5,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_5,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_5,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_5,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
run_5_repetition_5,TODO,Mistral-7B Instruct,q4_0, , , , , , , , 
run_6_repetition_5,TODO,GLM-4 9B Chat,fp16, , , , , , , , 
run_7_repetition_5,TODO,GLM-4 9B Chat,q8_0, , , , , , , , 
run_8_repetition_5,TODO,GLM-4 9B Chat,q4_0, , , , , , , , 
run_0_repetition_6,TODO,Llama-3 8B Instruct,fp16, , , , , , , , 
run_1_repetition_6,TODO,Llama-3 8B Instruct,q8_0, , , , , , , , 
run_2_repetition_6,TODO,Llama-3 8B Instruct,q4_0, , , , , , , , 
run_3_repetition_6,TODO,Mistral-7B Instruct,fp16, , , , , , , , 
run_4_repetition_6,TODO,Mistral-7B Instruct,q8_0, , , , , , , , 
